label,intensidade,simetria
0,145.43529411764706,297.14509803921567
0,118.5764705882353,274.2274509803922
0,127.6,268.0941176470588
0,138.04705882352943,302.0078431372549
0,146.2156862745098,245.00392156862745
0,128.07450980392156,315.30980392156863
0,136.9764705882353,312.7686274509804
0,131.24313725490197,281.08235294117645
0,142.94509803921568,290.85490196078433
0,129.09803921568627,283.6705882352941
0,128.87058823529412,296.12549019607843
0,130.61176470588236,292.8627450980392
0,129.3921568627451,245.31764705882352
0,137.51764705882354,236.34509803921566
0,157.80392156862746,286.8235294117647
0,126.28627450980392,239.2627450980392
0,131.41960784313724,253.41176470588235
0,140.28235294117647,242.3686274509804
0,148.41960784313724,299.6235294117647
0,136.99607843137255,314.63529411764705
0,140.16470588235293,265.75686274509803
0,154.2549019607843,302.49411764705883
0,126.56862745098039,280.7686274509804
0,129.64313725490197,297.4745098039216
0,132.5843137254902,264.2823529411765
0,127.16078431372549,309.1137254901961
0,151.49803921568628,279.6392156862745
0,135.7019607843137,276.078431372549
0,145.4156862745098,284.25098039215686
0,134.79607843137254,301.9921568627451
0,147.81176470588235,279.0431372549019
0,136.4156862745098,285.4745098039216
0,154.3921568627451,296.58039215686273
0,135.67843137254903,236.94117647058823
0,136.72549019607843,270.5098039215686
0,157.16470588235293,288.8941176470588
0,129.92156862745097,291.9372549019608
0,141.8235294117647,320.8941176470588
0,147.66666666666666,272.97254901960787
0,125.41176470588235,276.3294117647059
0,142.3764705882353,267.278431372549
0,155.4470588235294,260.5176470588235
0,144.82745098039214,275.45098039215685
0,134.54901960784315,265.2392156862745
0,136.45490196078433,276.8313725490196
0,132.77254901960785,311.6862745098039
0,151.50980392156862,258.85490196078433
0,139.06666666666666,281.1137254901961
0,123.54901960784314,306.0392156862745
0,123.52156862745097,236.7686274509804
0,120.43529411764706,275.21568627450984
0,150.0392156862745,252.67450980392158
0,123.32156862745099,303.8274509803922
0,143.0705882352941,281.4117647058823
0,133.3921568627451,254.5254901960784
0,118.90980392156862,278.8705882352941
0,141.2,243.30980392156863
0,146.72549019607843,293.0509803921568
0,142.38039215686274,313.4588235294118
